Region,Country,State,City,Month,Day,Year,AvgTemperature,Date
Europe,France,,Paris,1,1,1995,37.4,1995-01-01
Europe,France,,Paris,1,2,1995,35.2,1995-01-02
Europe,France,,Paris,1,3,1995,36.0,1995-01-03
Europe,France,,Paris,1,4,1995,30.7,1995-01-04
Europe,France,,Paris,1,5,1995,27.0,1995-01-05
Europe,France,,Paris,1,6,1995,33.8,1995-01-06
Europe,France,,Paris,1,7,1995,37.9,1995-01-07
Europe,France,,Paris,1,8,1995,38.3,1995-01-08
Europe,France,,Paris,1,9,1995,42.0,1995-01-09
Europe,France,,Paris,1,10,1995,48.2,1995-01-10
Europe,France,,Paris,1,11,1995,41.2,1995-01-11
Europe,France,,Paris,1,12,1995,38.1,1995-01-12
Europe,France,,Paris,1,13,1995,40.0,1995-01-13
Europe,France,,Paris,1,14,1995,43.6,1995-01-14
Europe,France,,Paris,1,15,1995,43.6,1995-01-15
Europe,France,,Paris,1,16,1995,36.8,1995-01-16
Europe,France,,Paris,1,17,1995,46.2,1995-01-17
Europe,France,,Paris,1,18,1995,42.5,1995-01-18
Europe,France,,Paris,1,19,1995,42.9,1995-01-19
Europe,France,,Paris,1,20,1995,47.6,1995-01-20
Europe,France,,Paris,1,21,1995,43.6,1995-01-21
Europe,France,,Paris,1,22,1995,54.9,1995-01-22
Europe,France,,Paris,1,23,1995,46.2,1995-01-23
Europe,France,,Paris,1,24,1995,43.8,1995-01-24
Europe,France,,Paris,1,25,1995,56.8,1995-01-25
Europe,France,,Paris,1,26,1995,47.1,1995-01-26
Europe,France,,Paris,1,27,1995,39.2,1995-01-27
Europe,France,,Paris,1,28,1995,51.1,1995-01-28
Europe,France,,Paris,1,29,1995,51.4,1995-01-29
Europe,France,,Paris,1,30,1995,42.7,1995-01-30
Europe,France,,Paris,1,31,1995,41.1,1995-01-31
Europe,France,,Paris,2,1,1995,53.5,1995-02-01
Europe,France,,Paris,2,2,1995,45.4,1995-02-02
Europe,France,,Paris,2,3,1995,44.6,1995-02-03
Europe,France,,Paris,2,4,1995,49.8,1995-02-04
Europe,France,,Paris,2,5,1995,49.9,1995-02-05
Europe,France,,Paris,2,6,1995,50.6,1995-02-06
Europe,France,,Paris,2,7,1995,45.9,1995-02-07
Europe,France,,Paris,2,8,1995,50.4,1995-02-08
Europe,France,,Paris,2,9,1995,42.0,1995-02-09
Europe,France,,Paris,2,10,1995,48.2,1995-02-10
Europe,France,,Paris,2,11,1995,51.1,1995-02-11
Europe,France,,Paris,2,12,1995,51.2,1995-02-12
Europe,France,,Paris,2,13,1995,51.3,1995-02-13
Europe,France,,Paris,2,14,1995,49.8,1995-02-14
Europe,France,,Paris,2,15,1995,56.0,1995-02-15
Europe,France,,Paris,2,16,1995,50.1,1995-02-16
Europe,France,,Paris,2,17,1995,47.9,1995-02-17
Europe,France,,Paris,2,18,1995,46.5,1995-02-18
Europe,France,,Paris,2,19,1995,49.5,1995-02-19
Europe,France,,Paris,2,20,1995,51.9,1995-02-20
Europe,France,,Paris,2,21,1995,46.0,1995-02-21
Europe,France,,Paris,2,22,1995,43.3,1995-02-22
Europe,France,,Paris,2,23,1995,42.9,1995-02-23
Europe,France,,Paris,2,24,1995,47.7,1995-02-24
Europe,France,,Paris,2,25,1995,48.9,1995-02-25
Europe,France,,Paris,2,26,1995,41.0,1995-02-26
Europe,France,,Paris,2,27,1995,42.4,1995-02-27
Europe,France,,Paris,2,28,1995,50.7,1995-02-28
Europe,France,,Paris,3,1,1995,48.0,1995-03-01
Europe,France,,Paris,3,2,1995,45.0,1995-03-02
Europe,France,,Paris,3,3,1995,41.3,1995-03-03
Europe,France,,Paris,3,4,1995,38.1,1995-03-04
Europe,France,,Paris,3,5,1995,40.5,1995-03-05
Europe,France,,Paris,3,6,1995,41.0,1995-03-06
Europe,France,,Paris,3,7,1995,42.6,1995-03-07
Europe,France,,Paris,3,8,1995,42.8,1995-03-08
Europe,France,,Paris,3,9,1995,43.3,1995-03-09
Europe,France,,Paris,3,10,1995,48.9,1995-03-10
Europe,France,,Paris,3,11,1995,55.3,1995-03-11
Europe,France,,Paris,3,12,1995,52.2,1995-03-12
Europe,France,,Paris,3,13,1995,50.7,1995-03-13
Europe,France,,Paris,3,14,1995,43.3,1995-03-14
Europe,France,,Paris,3,15,1995,43.9,1995-03-15
Europe,France,,Paris,3,16,1995,45.8,1995-03-16
Europe,France,,Paris,3,17,1995,52.4,1995-03-17
Europe,France,,Paris,3,18,1995,49.0,1995-03-18
Europe,France,,Paris,3,19,1995,46.9,1995-03-19
Europe,France,,Paris,3,20,1995,42.8,1995-03-20
Europe,France,,Paris,3,21,1995,43.8,1995-03-21
Europe,France,,Paris,3,22,1995,45.4,1995-03-22
Europe,France,,Paris,3,23,1995,52.5,1995-03-23
Europe,France,,Paris,3,24,1995,53.0,1995-03-24
Europe,France,,Paris,3,25,1995,50.6,1995-03-25
Europe,France,,Paris,3,26,1995,52.7,1995-03-26
Europe,France,,Paris,3,27,1995,43.2,1995-03-27
Europe,France,,Paris,3,28,1995,37.4,1995-03-28
Europe,France,,Paris,3,29,1995,41.7,1995-03-29
Europe,France,,Paris,3,30,1995,44.5,1995-03-30
Europe,France,,Paris,3,31,1995,45.5,1995-03-31
Europe,France,,Paris,4,1,1995,53.7,1995-04-01
Europe,France,,Paris,4,2,1995,57.1,1995-04-02
Europe,France,,Paris,4,3,1995,60.0,1995-04-03
Europe,France,,Paris,4,4,1995,53.1,1995-04-04
Europe,France,,Paris,4,5,1995,56.2,1995-04-05
Europe,France,,Paris,4,6,1995,53.0,1995-04-06
Europe,France,,Paris,4,7,1995,58.2,1995-04-07
Europe,France,,Paris,4,8,1995,49.0,1995-04-08
Europe,France,,Paris,4,9,1995,46.5,1995-04-09
Europe,France,,Paris,4,10,1995,51.2,1995-04-10
Europe,France,,Paris,4,11,1995,54.4,1995-04-11
Europe,France,,Paris,4,12,1995,55.5,1995-04-12
Europe,France,,Paris,4,13,1995,51.3,1995-04-13
Europe,France,,Paris,4,14,1995,51.4,1995-04-14
Europe,France,,Paris,4,15,1995,49.4,1995-04-15
Europe,France,,Paris,4,16,1995,47.5,1995-04-16
Europe,France,,Paris,4,17,1995,50.8,1995-04-17
Europe,France,,Paris,4,18,1995,50.5,1995-04-18
Europe,France,,Paris,4,19,1995,43.2,1995-04-19
Europe,France,,Paris,4,20,1995,42.3,1995-04-20
Europe,France,,Paris,4,21,1995,43.9,1995-04-21
Europe,France,,Paris,4,22,1995,51.9,1995-04-22
Europe,France,,Paris,4,23,1995,47.7,1995-04-23
Europe,France,,Paris,4,24,1995,47.5,1995-04-24
Europe,France,,Paris,4,25,1995,51.0,1995-04-25
